Dose,Response,,,,,
44475,1,,,,,
44475,0.9375,,,,,
44475,1,,,,,
44475,0.928571429,,,,,
44475,1,,,,,
44475,0.666666667,,,,,
44475,1,,,,,
44475,1,,,,,
44475,1,,,,,
44481.5,1,,,,,
44481.5,0.947368421,,,,,
44481.5,0,,,,,
44481.5,0.75,,,,,
44481.5,1,,,,,
44481.5,1,,,,,
44481.5,0.952380952,,,,,
44481.5,1,,,,,
44481.5,1,,,,,
44490.5,0.875,,,,,
44490.5,0.714285714,,,,,
44490.5,1,,,,,
44490.5,1,,,,,
44490.5,1,,,,,
44490.5,0.666666667,,,,,
44490.5,1,,,,,
44490.5,1,,,,,
44490.5,1,,,,,
44498,1,,,,,
44498,0.727272727,,,,,
44498,1,,,,,
44498,1,,,,,
44498,1,,,,,
44498,0.75,,,,,
44498,1,,,,,
44498,1,,,,,
44498,1,,,,,
44503.5,1,,,,,
44503.5,1,,,,,
44503.5,1,,,,,
44503.5,0.857142857,,,,,
44503.5,0.666666667,,,,,
44503.5,1,,,,,
44503.5,1,,,,,
44503.5,1,,,,,
44503.5,1,,,,,
44510,1,,,,,
44510,1,,,,,
44510,1,,,,,
44510,1,,,,,
44510,0.916666667,,,,,
44510,0.846153846,,,,,
44510,0.8,,,,,
44510,1,,,,,
44517.5,0.941176471,,,,,
44517.5,0.714285714,,,,,
44517.5,0.714285714,,,,,
44517.5,1,,,,,
44517.5,1,,,,,
44517.5,1,,,,,
44517.5,1,,,,,
44517.5,0.8,,,,,
44525.5,0.947368421,,,,,
44525.5,0.8,,,,,
44525.5,0.666666667,,,,,
44525.5,1,,,,,
44525.5,1,,,,,
44525.5,1,,,,,
44525.5,1,,,,,
44531.5,1,,,,,
44531.5,1,,,,,
44531.5,1,,,,,
44531.5,1,,,,,
44531.5,1,,,,,
44531.5,1,,,,,
44531.5,1,,,,,
44531.5,1,,,,,
44531.5,0.5,,,,,
44545.5,0.8,,,,,
44545.5,1,,,,,
44545.5,0.857142857,,,,,
44545.5,1,,,,,
44545.5,0.6,,,,,
44545.5,0.8,,,,,
44545.5,1,,,,,
44545.5,1,,,,,
44545.5,1,,,,,
44561.5,1,,,,,
44561.5,0.8,,,,,
44561.5,1,,,,,
44561.5,1,,,,,
44561.5,0.8,,,,,
44561.5,1,,,,,
44561.5,1,,,,,
44574.5,0.5,,,,,
44574.5,1,,,,,
44574.5,1,,,,,
44574.5,1,,,,,
44574.5,1,,,,,
44574.5,1,,,,,
44574.5,1,,,,,
44588,1,,,,,
44588,1,,,,,
44602,1,,,,,
44602,1,,,,,
44615.5,1,,,,,
44615.5,1,,,,,
44615.5,1,,,,,
44622.5,1,,,,,
44622.5,0.75,,,,,
44630.5,1,,,,,
44630.5,1,,,,,
44630.5,1,,,,,
44630.5,1,,,,,
44636.5,1,,,,,
44636.5,1,,,,,
44636.5,1,,,,,
44636.5,0.333333333,,,,,
44644.5,0.25,,,,,
44644.5,0.333333333,,,,,
44650.5,0.285714286,,,,,
44650.5,0,,,,,
44650.5,0,,,,,
44657.5,0.7,,,,,
44657.5,1,,,,,
44657.5,0,,,,,
44665.5,0,,,,,
44665.5,0,,,,,
44665.5,0,,,,,
44671.5,0,,,,,
44671.5,0,,,,,
44671.5,0.625,,,,,
44671.5,0,,,,,
44671.5,0,,,,,
44671.5,0,,,,,
44671.5,0,,,,,
44678.5,0,,,,,
44678.5,0,,,,,
44678.5,0.5,,,,,
44678.5,0,,,,,
44678.5,0,,,,,
44678.5,0,,,,,
44678.5,0,,,,,
44678.5,0,,,,,
44684,0,,,,,
44684,0,,,,,
44684,0,,,,,
44684,0,,,,,
44684,0.2,,,,,
44684,0,,,,,
44684,0,,,,,
44692,0,,,,,
44692,0,,,,,
44692,0,,,,,
44692,0,,,,,
44692,0,,,,,
