Collection_Date_(M/D/Y),Site_Name,Latitude,Longitude,Trap_Type,ID_#,Female,Species_#,"If_4,_species?",Non-Culex_ID,Species_(Culex-centric),Reproductive_Status,Mean_Primary_EFL_(unadjusted),Mean_Primary_EFL,Diapause_Status_(D/ND/T),ID_Confidence,GDD_43210_TOSPC,#_of_Samples_in_Cell:,Field_or_Culvert
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A1,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A2,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A3,N,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,1 of them,Y,0,,Ae. albopictus,Ae. albopictus,Gravid,,,ND,,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A5,N,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A6,Y,?,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",Gravid,,,ND,,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A7,N,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A8,Y,?,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A9,Y,2,,,Cx. restuans,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A10,Y,1 or 2,,,Cx. pipiens or Cx. restuans,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,A - Poultry,40.007826,-83.030031,Gravid,I.A11,Y,1,,,Cx. pipiens,,,,,L,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B1,Y,2,,,Cx. restuans,Gravid,,,ND,L,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B2,Y,1 or 2 or 3 or 4,,,Culex,Gravid,,,ND,H,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B3,Y,1 or 2 or 3,,,Culex,,,,,H,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B4,NA,,,,"Either it's non-Culicidae, a poorly IDed sample, or it's not using the Fall 2021 - Spring 2022 format",,,,,,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B5,Y,1 or 2 or 3 or 4,,,Culex,NA,18.33333333,91.66666665,ND,L,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B6,Y,1 or 2 or 3 or 4,,,Culex,,,,,L,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B7,Y,1 or 2 or 3 or 4,,,Culex,Gravid,,,ND,H,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B8,Y,1 or 2 or 3 or 4,,,Culex,Gravid,,,ND,H,3383,1.00,Field
9/27/2019,B - Webster,40.039153,-83.02442,Gravid,I.B9,Y,1,,,Cx. pipiens,Gravid,,,ND,L,3383,1.00,Field
