Trap.Collection.Week,Park.Offset,Park.Traps,Culvert.Offset,Culvert.Aspriration,,,
44476,44475.25,9,44476.75,225,,,
44483,44482.25,27,44483.75,290,,,
44490,44489.25,20,44490.75,275,,,
44496,44495.25,0,44496.75,399,,,
44503,44502.25,0,44503.75,226,,,
44510,44509.25,9,44510.75,214,,,
44517,44516.25,2,44517.75,205,,,
44523,44522.25,0,44523.75,110,,,
44531,44530.25,0,44531.75,114,,,
44545,44544.25,0,44545.75,58,,,
44560,44559.25,0,44560.75,51,,,
44574,44573.25,0,44574.75,38,,,
44587,44586.25,0,44587.75,29,,,
44603,44602.25,0,44603.75,26,,,
44616,44615.25,0,44616.75,21,,,
44623,44622.25,0,44623.75,18,,,
44630,44629.25,0,44630.75,14,,,
44637,44636.25,1,44637.75,19,,,
44645,44644.25,0,44645.75,10,,,
44651,44650.25,5,44651.75,13,,,
44658,44657.25,8,44658.75,14,,,
44666,44665.25,3,44666.75,11,,,
44672,44671.25,9,44672.75,31,,,
44679,44678.25,2,44679.75,47,,,
44684,44683.25,471,44684.75,87,,,
44693,44692.25,97,44693.75,51,,,
